track_id,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key,mode,artist_id1,artist_id2,artist_id3,released_month,released_day,song_name,artist_name1,artist_name2,artist_name3
70LcF31zb1H0PyJoS1Sx1r,1992,36724,7,1271293243,146,72,"6,807",5,80,92.0,53.0,12.0,34.0,1.0,0.0,12.0,4.0,G,Major,4Z8W4fKeB5YxbusRsdQVPb,,,9,21,Creep,Radiohead,,
70t7Q6AYG6ZgTYmJWcnkUM,2023,366,15,123132751,16,102,7,0,55,122.0,68.0,38.0,88.0,1.0,0.0,8.0,5.0,E,Minor,6RHTUrRF63xao58xh9FXYJ,,,4,10,I AM,IVE,,
72yP0DUlWPyH8P7IoxskwN,2017,4967,0,284216603,165,10,177,4,73,126.0,67.0,49.0,77.0,11.0,0.0,19.0,11.0,,Major,3PhoLpVuITZKcymswpck5b,26dSoYclwsYLMAKD3tpOr4,,11,10,Hold Me Closer,Elton John,Britney Spears,
73CMRj62VK8nUS4ezD2wvi,2011,14739,43,1163620694,88,112,"2,163",5,519,108.0,61.0,47.0,68.0,0.0,0.0,13.0,3.0,D,Minor,4dpARuHxo51G3z768sgnrY,,,1,1,Set Fire to the Rain,Adele,,
73RbfOTJIjHzi2pcVHjeHM,2023,804,25,95131998,29,76,24,0,162,172.0,74.0,76.0,76.0,6.0,0.0,10.0,9.0,C#,Minor,4E2rKHVDssGJm2SCDOMMJB,,,3,17,What It Is (Solo Version),Doechii,,
73vIOb4Q7YN6HeJTbscRx5,2022,5730,10,497225336,108,16,197,3,165,145.0,59.0,20.0,74.0,1.0,0.0,15.0,5.0,F#,Minor,6TLwD7HPWuiOzvXEa3oCNe,3t5xRXzsuZmMDkQzgOX35S,,8,5,Miss You,Oliver Tree,Robin Schulz,
73zawW1ttszLRgT9By826D,2023,329,0,58890931,14,35,1,0,0,148.0,50.0,49.0,76.0,12.0,0.0,12.0,3.0,E,Major,4oUHIQIBe0LHzYfvXNW4QM,2IvkS5MXK0vPGnwyJsrEyV,,3,3,Man Made A Bar (feat. Eric Church),Morgan Wallen,Eric Church,
741UUVE2kuITl0c6zuqqbO,2023,1117,80,65156199,82,145,65,16,"1,133",144.0,77.0,75.0,58.0,52.0,0.0,23.0,25.0,,Major,0hCNtLu0JehylgoiP8L4Gh,3LZZPxNDGDFVSIPqf4JuEf,6kBjAFKyd0he7LiA5GQ3Gz,6,23,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Ice Spice,Aqua
74loibzxXRL875X20kenvk,2022,1584,0,115331792,38,0,24,0,0,150.0,70.0,26.0,56.0,14.0,83.0,11.0,5.0,F,Minor,6icQOAFXDZKsumw3YXyusw,,,6,23,Poland,Lil Yachty,,
759ndr57jb0URg4j9YSWml,2022,733,0,41924466,0,2,2,0,0,94.0,46.0,55.0,50.0,71.0,0.0,10.0,11.0,F,Minor,1Xyo4u8uXC1ZmMpatF05PJ,,,1,7,A Tale By Quincy,The Weeknd,,
75JFxkI2RXiU7L9VXzMkle,2002,30992,6,1608164312,124,25,"7,827",1,0,146.0,56.0,21.0,44.0,73.0,0.0,11.0,2.0,F,Major,4gzpq5DPGxSnKTe4SA8HAU,,,8,5,The Scientist,Coldplay,,
75UMtPC77vqKRwfSuYuNPO,2019,407,1,244891912,5,0,5,0,0,92.0,58.0,27.0,36.0,86.0,0.0,9.0,3.0,G,Major,6OBGbSaBUvQtk9wpQfDbOE,,,11,7,San Lucas,Kevin Kaarl,,
760jhRscwGbIIe1m1IIQpU,2021,1756,0,267758538,38,48,20,0,0,180.0,65.0,37.0,58.0,2.0,0.0,4.0,31.0,D,Major,4vdAAzZBUKbsrvHi6UR7B7,,,11,19,Surface Pressure,Jessica Darrow,,
76OGwb5RA9h4FxQPT33ekc,2022,3202,18,726307468,148,80,63,24,353,170.0,56.0,52.5,64.0,11.0,0.0,45.0,6.5,,Major,46xBNx0j6cwY6sD9LgMTm1,,,3,19,SNAP,Rosa Linn,,
78kygHp1dvW1kncYjBgbe1,2021,1492,0,231996128,44,63,91,0,24,80.0,76.0,92.0,62.0,6.0,0.0,8.0,13.0,A,Major,7j6DKwmjbxvpQO8h914uEz,,,12,17,Mujeriego,Ryan Castro,,
79uDOz0zuuWS7HWxzMmTa2,2023,139,17,39228929,16,72,5,0,8,142.0,50.0,20.0,64.0,1.0,0.0,12.0,3.0,D,Major,06HL4z0CvFAxyc27GXpf02,,,7,7,Back To December (Taylor's Version),Taylor Swift,,
7A9ppeelewS6QLh2FAbZRJ,2022,1379,4,179061440,23,10,18,0,0,172.0,74.0,46.0,58.0,15.0,0.0,13.0,8.0,G#,Minor,2LRoIwlKmHjgvigdNGBHNo,,,8,5,Si Te La Encuentras Por Ahí,Feid,,
7ABLbnD53cQK00mhcaOUVG,2023,1474,48,133716286,48,126,58,14,382,92.0,71.0,61.0,74.0,7.0,0.0,10.0,4.0,C#,Major,7iK8PXO48WeuP03g8YR51W,,,3,23,LALA,Myke Towers,,
